FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity
0.117969103,0.042840973,0.796052632,135.5045451
0.096886195,0.7227788,0.728695652,130.8644957
0.099994332,0.7784595,0.742346939,128.9254095
,0.70208514,0.790896159,136.3662584
0.109414488,0.6089846,0.78,140.0507943
0.098009713,0.92835593,0.759042553,117.2269174
0.101728007,0.9149681,0.775498891,122.021211
0.113833867,0.5807591,0.751690821,123.074137
0.087883025,0.81067926,0.75444664,122.4499587
0.113589123,0.8533478,0.789473684,126.0595833
,0.88268846,0.73025641,126.9356776
0.096962795,0.87964284,0.73208858,116.7219787
0.173489735,0.87421596,0.793103448,124.2085568
0.089348182,0.7991159,0.710793083,117.5972335
0.169339672,0.7483578,0.692401216,92.18675604
0.136613667,0.6315527,0.756790123,99.58993118
0.127568573,0.62453276,0.721583653,95.48455016
0.171152636,0.5710627,0.801428571,98.96569503
0.128229633,0.5875976,0.651960784,98.65875516
0.119947292,0.88019276,0.792207792,103.3428134
0.123401873,0.8385692,0.755762411,99.92475338
0.158634812,0.8792222,0.735227273,91.22260228
0.131176636,0.26074916,0.750776398,99.36135731
0.12580803,0.8658202,0.770967742,98.36420271
0.122060575,-0.003365949,0.737373737,98.92713627
0.119426854,0.67607003,0.789166667,102.9605964
0.091596775,0.88070834,0.738596491,95.16431393
0.127424777,0.9362545,0.788602941,93.57293726
0.10656403,0.611606,0.778195489,98.52497535
0.082847014,0.8027224,0.755849754,95.2768366
0.1025258,0.26708168,0.764661654,100.9226583
0.081779264,0.7082751,0.728804348,90.44498931
0.091039449,0.6515542,0.774390244,97.6234743
0.077211998,0.8179335,0.738897232,100.3507765
0.092421785,0.81238174,0.6575,99.04089069
