FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity,A_Eccentricity similarity
0.0790032148361206,0.7003292,0.7014042867701404,143.4171316,0.782342808982533
0.11178181320428848,0.009799471,0.7074652777777778,151.5140782,0.55500294002507
0.11962517350912094,0.18828905,0.7467105263157895,154.4839735,0.2853364550672829
0.07629882544279099,0.52866304,0.6638157894736842,136.49527,0.4147125555372482
0.08125241100788116,0.90951484,0.7156019656019657,142.6085412,0.6265038332516648
0.09708666056394577,0.83487415,0.7749658002735978,160.9102712,0.6294346494688958
0.09325014054775238,0.2767895,0.7530246141009596,118.5995944,0.4018217689537431
0.08836917579174042,0.6240321,0.7443581206067332,115.0897095,0.7098852554226743
0.13371595740318298,0.89843875,0.7838345864661654,118.6627191,0.5840585548750291
0.1098657175898552,0.57252467,0.7735714285714286,116.9250166,0.4952403170296814
0.08943863958120346,0.8493266,0.7678855325914149,115.548214,0.4341243605390212
0.10441724956035614,0.68291235,0.7736928104575164,120.4086883,0.4052066586415596
0.09677890688180923,0.5895727,0.7569252077562327,114.8752837,0.3766008982640129
0.10047879815101624,0.8588581,0.736764705882353,110.9374546,0.6261868790215785
,0.6272313,0.6514778325123153,117.2467024,0.6137123812918537
0.14557825028896332,0.42693955,0.7800480769230769,117.829813,0.6075041759622384
0.0787220150232315,0.46216846,0.7795454545454545,125.4272847,0.5548811842463935
,0.8826004,0.7666666666666667,124.0826949,0.4057864174395902
0.11561240255832672,0.72954893,0.8058712121212122,124.6259155,0.2962715059836635
0.10999941825866699,0.8299715,0.75625,126.5048229,0.6956575601799667
0.08485396206378937,0.6381507,0.7288043478260869,126.7151877,0.4923349016402287
0.09850340336561203,0.85806644,0.7704761904761904,139.0060316,0.6231962336586117
0.1179691031575203,0.042840973,0.7960526315789473,135.5045451,0.5724439597046416
0.09688619524240494,0.7227788,0.7286956521739131,130.8644957,0.6896512099612054
0.09999433159828186,0.7784595,0.7423469387755102,128.9254095,0.6573176774621541
,0.70208514,0.7908961593172119,136.3662584,0.4596102345100973
0.1094144880771637,0.6089846,0.78,140.0507943,0.2383998454505222
0.09800971299409866,0.92835593,0.7590425531914894,117.2269174,0.5272286577129619
0.10172800719738007,0.9149681,0.7754988913525499,122.021211,0.3497249674503471
0.11383386701345444,0.5807591,0.7516908212560387,123.074137,0.5519799087019581
0.08788302540779114,0.81067926,0.7544466403162056,122.4499587,0.3506155132585725
0.11358912289142609,0.8533478,0.7894736842105263,126.0595833,0.3038613977778553
,0.88268846,0.7302564102564103,126.9356776,0.6875425162557328
0.09696279466152191,0.87964284,0.7320885801128962,116.7219787,0.35944892461145606
0.1734897345304489,0.87421596,0.7931034482758621,124.2085568,0.568146323613149
0.08934818208217621,0.7991159,0.7107930828861061,117.5972335,0.616335432023513
0.16933967173099518,0.7483578,0.6924012158054711,92.18675604,0.6482701025382047
0.136613667011261,0.6315527,0.7567901234567901,99.58993118,0.47051626286752996
0.1275685727596283,0.62453276,0.7215836526181354,95.48455016,0.6947976948762593
0.17115263640880585,0.5710627,0.8014285714285714,98.96569503,0.431871241403701
0.12822963297367096,0.5875976,0.6519607843137255,98.65875516,0.7057411386708903
0.11994729191064835,0.88019276,0.7922077922077922,103.3428134,0.3126390058160594
0.12340187281370163,0.8385692,0.7557624113475178,99.92475338,0.5942881100274987
0.15863481163978577,0.8792222,0.7352272727272727,91.22260228,0.6110335992946289
0.1311766356229782,0.26074916,0.7507763975155279,99.36135731,0.5782511701066215
0.12580803036689758,0.8658202,0.7709677419354839,98.36420271,0.35371753868874967
0.12206057459115982,-0.003365949,0.7373737373737373,98.92713627,0.7611109908666633
0.11942685395479202,0.67607003,0.7891666666666667,102.9605964,0.6838629079867613
0.09159677475690842,0.88070834,0.7385964912280701,95.16431393,0.4891662095059201
0.12742477655410767,0.9362545,0.7886029411764706,93.57293726,0.33251680404599554
0.10656403005123138,0.611606,0.7781954887218046,98.52497535,0.4483487508429114
0.08284701406955719,0.8027224,0.7558497536945813,95.2768366,0.526274178620797
0.10252580046653748,0.26708168,0.7646616541353384,100.9226583,0.397873528782096
0.08177926391363144,0.7082751,0.7288043478260869,90.44498931,0.7468378907001876
0.09103944897651672,0.6515542,0.774390243902439,97.6234743,0.5144616343353369
0.07721199840307236,0.8179335,0.7388972323535722,100.3507765,0.6808109549112032
0.09242178499698639,0.81238174,0.6575,99.04089069,0.7162162381910311
0.0355796255171299,0.17966357,0.7502131287297528,92.60015994,0.8962483055034587
0.0987473800778389,0.66478693,0.6326599326599327,110.4493813,0.8382123002455569
0.10677368938922882,0.62514865,0.7428104575163399,109.6174316,0.5540359165905338
0.09486504644155502,0.24663594,0.7228163992869875,113.6666797,0.6092424136489607
0.10113012790679932,0.915393,0.7621428571428571,117.1169308,0.47532682786968417
